Fonte,Título,Data,Descrição,URL,Anexos
FAPEMIG_BLOCOS,CHAMADA FAPEMIG 011/2025,"08/08/2025, 04/07/2025, 02/09/2025",,http://www.fapemig.br/pt/chamadas_abertas_oportunidades_fapemig/,http://www.fapemig.br/media/GUIA_-_GUIA_R%C3%81PIDO_-_CHAMADA_FAPEMIG_-_DEEP_TECH.pdf; http://www.fapemig.br/media/Apresenta%C3%A7%C3%A3o_geral_-_Deep_Tech.pdf; http://www.fapemig.br/pt/../../media/CHAMADA_FAPEMIG_11-2025_DEEP_TECH_-_INSERÇÃO_NO_MERCADO_E_TRAÇÃO_COMERCIAL.pdf; http://www.fapemig.br/pt/../../media/ANEXO_II__PERMISSÕES_E_AUTORIZAÇÕES_ESPECIAIS_DE_CARÁTER_ÉTICO_OU_LEGAL.docx; http://www.fapemig.br/pt/../../media/ANEXO_III__TERMO_DE_DESIGNAÇÃO_DE_FISCAL_REFERENTE_À_EXECUTORA.docx; http://www.fapemig.br/pt/../../media/ANEXO_IV__PLANO_DE_TRABALHO_DE_BOLSISTA_BDCTI.docx; http://www.fapemig.br/pt/../../media/GUIA_-_GUIA_RÁPIDO_-_CHAMADA_FAPEMIG_-_DEEP_TECH.pdf; http://www.fapemig.br/pt/../../media/Apresentação_geral_-_Deep_Tech.pdf
FAPEMIG_BLOCOS,Chamada 016/2024 - Participação Coletiva em Eventos Técnicos no País,"30/09/2025, 02/06/2025",,http://www.fapemig.br/pt/chamadas_abertas_oportunidades_fapemig/,http://www.fapemig.br/pt/../../media/SEI_99686306_FAPEMIG___Chamada_016_2024_b5jLqzv_Cv1DCz2.pdf; http://www.fapemig.br/pt/../../media/Anexo_I_wF8UeJB_z4ioht6.pdf; http://www.fapemig.br/pt/../../media/Anexo_II_LUSUivd_ZnHxBkY.pdf; http://www.fapemig.br/pt/../../media/Anexo_III_YFOQKg8_Jpmj39z.pdf; http://www.fapemig.br/pt/../../media/Anexo_IV_us4diHy_aH1NPfd.pdf; http://www.fapemig.br/pt/../../media/ANEXO_V_cYgvJQU_qUuqNmA.pdf; http://www.fapemig.br/pt/../../media/Chamada_retificada_016_2024_1_LaiTnPL.pdf
FAPEMIG_BLOCOS,CHAMADA 005/2025,05/05/2025,,http://www.fapemig.br/pt/chamadas_abertas_oportunidades_fapemig/,http://www.fapemig.br/pt/../../media/Chamada_Eventos_005_2025_JQPaqE5.pdf; http://www.fapemig.br/pt/../../media/ANEXO_I_-_MINUTA_TERMO_DE_OUTORGA_COM_FUNDAÇÃO_DE_APOIO_oUurcgU.pdf; http://www.fapemig.br/pt/../../media/ANEXO_II_-_MINUTA_TERMO_DE_OUTORGA_SEM_FUNDAÇÃO_DE_APOIO_2v0Zx0E.pdf; http://www.fapemig.br/pt/../../media/ANEXO_III_-_TERMO_DE_INDICAÇÃO_DE_RESPONSÁVEL_PELA_GESTÃO_E_FISCALIZAÇÃO_fCMM2s1.docx; http://www.fapemig.br/pt/../../media/ANEXO_IV_Checklist_4nLhjrG.docx; http://www.fapemig.br/pt/../../media/GUIA_R81PIDO_-_CHAMADA_FAPEMIG_-_005-2025_1.pdf
FAPEMIG_BLOCOS,PORTARIA FAPEMIG 021/2024,05/07/2024,,http://www.fapemig.br/pt/chamadas_abertas_oportunidades_fapemig/,http://www.fapemig.br/pt/../../media/Portaria_FAPEMIG_n._21-2024.pdf
FAPEMIG_BLOCOS,PORTARIA FAPEMIG 020/2024,05/07/2024,,http://www.fapemig.br/pt/chamadas_abertas_oportunidades_fapemig/,http://www.fapemig.br/pt/../../media/Portaria_FAPEMIG_n._20-2024.pdf; http://www.fapemig.br/pt/../../media/ANEXO_ÚNICO.docx
FAPEMIG_BLOCOS,CREDENCIAMENTO AO PROGRAMA INSTITUCIONAL DE INICIAÇÃO CIENTÍFICA E TECNOLÓGICA JUNIOR - BICJR,21/11/2023,,http://www.fapemig.br/pt/chamadas_abertas_oportunidades_fapemig/,http://www.fapemig.br/pt/../../media/PORTARIA_PRE_N_051-2023_-_CREDENCIAMENTO_AO_BICJR.pdf
FAPEMIG_BLOCOS,CREDENCIAMENTO AO PROGRAMA INSTITUCIONAL DE INICIAÇÃO CIENTÍFICA E TECNOLÓGICA - PIBIC,13/11/2023,,http://www.fapemig.br/pt/chamadas_abertas_oportunidades_fapemig/,http://www.fapemig.br/pt/../../media/PORTARIA_PRE_N_046-2023_-_CREDENCIAMENTO_AO_PIBIC.pdf; http://www.fapemig.br/pt/../../media/ANEXO_I_-_DECLARAÇÃO_ICTMG.docx; http://www.fapemig.br/pt/../../media/ANEXO_II_-_DECLARAÇÃO_IES.docx
FAPEMIG_BLOCOS,Credenciamento ao Programa de Capacitação de Recursos Humanos - PCRH,23/03/2023,,http://www.fapemig.br/pt/chamadas_abertas_oportunidades_fapemig/,http://www.fapemig.br/pt/../../media/Portaria_PRE_010_2023_credenciamento_PCRH.pdf; http://www.fapemig.br/pt/../../media/ANEXO_I_-_QUADRO_DE_PESSOAL.docx; http://www.fapemig.br/pt/../../media/ANEXO_II__DECLARAÇÃO_DE_ICTMG_aGFsTyT.docx
CNPQ,"Chamada CNPq/MMA/CONFAP/FAPs Nº 15/2025 - SinBiose <p>Apoiar projetos de pesquisa que visem contribuir significativamente para o desenvolvimento científico e tecnológico e a inovação do País, nas áreas de atuação do Programa Centro de Síntese em Biodiversidade e Serviços Ecossistêmicos ¿ SinBiose, regulamentado pela Portaria",25/08/2025  a  09/10/2025,,http://www.facebook.com/sharer.php?u=http%3A%2F%2Fmemoria2.cnpq.br%2Fweb%2Fguest%2Fchamadas-publicas%3Fp_p_id%3Dresultadosportlet_WAR_resultadoscnpqportlet_INSTANCE_0ZaM%26filtro%3Dabertas%26detalha%3DchamadaDivulgada%26idDivulgacao%3D13105,
CNPQ,"MCTI/CNPq/DFG Nº 14/2025 <p>Selecionar até 10 projetos conjuntos de pesquisa Brasil¿Alemanha, voltados ao desenvolvimento científico, tecnológico e à inovação, nas áreas de Ciências Agrárias, Ciências Florestais e Medicina Veterinária.</p>",25/08/2025  a  15/12/2025,,http://www.facebook.com/sharer.php?u=http%3A%2F%2Fmemoria2.cnpq.br%2Fweb%2Fguest%2Fchamadas-publicas%3Fp_p_id%3Dresultadosportlet_WAR_resultadoscnpqportlet_INSTANCE_0ZaM%26filtro%3Dabertas%26detalha%3DchamadaDivulgada%26idDivulgacao%3D13107,
